txid,ordertxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,costusd,strategy,note
TLCWS7-2MKBX-Y6EN6U,OZVMCC-7IR7B-K5DLGT,ETH/USD,forex,48:06.3,buy,market,4267.63,53.37999,0.18683,0.01250811,0,initiated,"LMKAZK-NO6CF-2ZQT3Y,LZ7YB7-HHF56-44EEWX",TKH2SE-M7IF5-CFI7LT,53.37999,,
TUQ4MB-HHH3R-ISU2FR,OLXYGK-ARWAA-M3QOE5,BCH/USD,forex,48:48.7,sell,market,546.98,53.276558,0.186468,0.09740129,0,initiated,"LXTMJA-77VU5-F4SZKJ,LHPCNJ-Y7REV-UTAYN6",TKH2SE-M7IF5-CFI7LT,53.276558,,
TOIVKR-7G35D-JGZWQG,ONN2YD-KH637-6GKGTF,ETH/USD,forex,48:54.2,buy,market,4269.43,53.26011,0.18641,0.01247476,0,initiated,"LKNS3F-RX4AV-MON3YO,L42YKJ-GDEEQ-HLZK2E",TKH2SE-M7IF5-CFI7LT,53.26011,,
TTE56D-JNYEQ-XXSIEV,O4ACMN-QLONN-2GBC2D,SOL/USD,forex,48:54.9,buy,market,208.39262,53.27601,0.18646,0.25565209,0,initiated,"LILPEV-ZO7XC-3K3U4A,LYKPWA-U4RSY-HU3HZI",TKH2SE-M7IF5-CFI7LT,53.27601,,
TEVELI-YPYIR-RNJJNO,O6YJHK-A254G-F7TN4N,AVAX/USD,forex,48:55.7,buy,market,23.86,53.26,0.18641,2.23218776,0,initiated,"LXDFGU-MHR33-CUPPDZ,LLURLD-GQXEI-A7FVNW",TKH2SE-M7IF5-CFI7LT,53.26,,
TOVXU6-6GVTH-56SMLE,OOKJNQ-O7DO7-QAM54Y,LINK/USD,forex,48:56.6,buy,market,20.08315,53.259974,0.18641,2.6519731,0,initiated,"LSAJNN-LJRRD-XN2XOI,LN3FAG-L34M6-KN2NC6",TKH2SE-M7IF5-CFI7LT,53.259974,,
TNIFVG-B4ENM-RO54AW,OCL6LB-VAHNY-HVM7YH,ETH/USD,forex,49:16.8,sell,market,4269.42,53.25986,0.18641,0.01247473,0,initiated,"LIUTEW-6T4Q3-OAE3C2,L3QG5O-XCYA2-KSNLWF",TKH2SE-M7IF5-CFI7LT,53.25986,,
THWU7X-BWAK7-XLC5SG,OEA4DJ-GSET5-WFUBND,SOL/USD,forex,49:17.5,sell,market,208.41,53.27022,0.18645,0.25560301,0,initiated,"LHNHLG-HKOD5-UD664M,LQK4KD-ZFMKW-QYN6KN",TKH2SE-M7IF5-CFI7LT,53.27022,,
TI4FOJ-DJGQN-HQS7RS,OYXUQC-VA4QQ-TFNY7I,AVAX/USD,forex,49:20.0,sell,market,23.86,53.23769,0.18633,2.23125262,0,initiated,"LEWFWE-VVLEE-QO5KIM,LYM234-NHEQO-RM4AUJ",TKH2SE-M7IF5-CFI7LT,53.23769,,
TNEEMI-K2II7-K45Y6M,ODLAAR-RYKYW-OJFRPG,LINK/USD,forex,49:20.9,sell,market,20.07425,53.24329,0.186352,2.65231779,0,initiated,"LYVJ2V-RWBET-6BOKWQ,L3Q7YJ-WWVAX-QUBWBQ",TKH2SE-M7IF5-CFI7LT,53.24329,,
T23ZJV-I2LJF-EY7A3U,OYD52I-LSHPM-HXP3CQ,ETH/USD,forex,49:26.6,buy,market,4269.43,53.25999,0.18641,0.01247473,0,initiated,"LRDLUI-FOR5H-6XHUC5,L6DKSN-TGKV2-6G4PFW",TKH2SE-M7IF5-CFI7LT,53.25999,,
TT4F4N-IQHVP-5QJFAM,O75SAX-QW7DQ-S2OEYD,SOL/USD,forex,49:27.3,buy,market,208.43,53.26511,0.18643,0.25555396,0,initiated,"LNEWVB-X3HVT-TBESOY,LLURFD-IJP4G-QKUF2J",TKH2SE-M7IF5-CFI7LT,53.26511,,
TQX7CP-H2UHR-B6DRQ5,OQ7LHP-TTA2E-AEPCE5,BTC/USD,forex,50:13.8,buy,market,115633.1,53.19007,0.18617,0.00045999,0,initiated,"LEWDYK-LKDVF-PI6LTB,LTGTEC-DSFVY-JOO2FT",TKH2SE-M7IF5-CFI7LT,53.19007,,
